"index","position","company","key_words","city","state"
"13","Assistant Scientist (AR) SOM","Emory University","data, research, development, skills, analysis, years, working, technical, required, knowledge, communication, not, and/or, preferred, complex, scientist, advanced, responsible, responsibilities, results, applications, program, highly, programs","Atlanta","GA"
"14","Business Intelligence Data Science Analyst - Supply Chain","Newell Brands","data, research, development, skills, business, ability, years, technical, including, required, engineering, environment, analytics, opportunity, products, communication, tools, requirements, across, statistical, role, within, complex, employment, into, scientist, techniques, developing, scientific, advanced, performance, operations, global, highly, programming, reports, methods, multiple, organization, statistics, programs, algorithms","Atlanta","GA"
"15","Data Scientist","Cotiviti","data, development, business, ability, learning, analysis, working, management, technical, including, software, required, knowledge, engineering, systems, environment, solutions, analytics, opportunity, technology, products, using, tools, computer, not, and/or, understanding, models, preferred, statistical, role, health, technologies, complex, problems, customers, scientist, analytical, developing, advanced, performance, python, looking, clients, applications, program, insights, maintain, programming, modeling, relevant, statistics, algorithms","Atlanta","GA"
"16","Senior Structural Engineer-Transmission & Distribution","Burns & McDonnell","data, development, skills, business, years, management, knowledge, engineering, related, opportunity, projects, scientists, project, communication, and/or, preferred, role, complex, qualifications, problems, engineers, analytical, techniques, advanced, excellent, employer, responsibilities, clients, applications, program, marketing, reports, methods","Atlanta","GA"
"17","Senior Mobile Developer (iOS/Android)","Perficient","data, development, business, ability, working, management, technical, including, software, engineering, environment, solutions, information, opportunity, technology, status, scientists, using, computer, not, across, understanding, services, technologies, complex, qualifications, problems, engineers, employment, customers, into, quality, employer, disability, responsibilities, national, looking, clients, applications, expertise, global, highly, algorithms","Atlanta","GA"
"18","Data Scientist","Relus Cloud","data, research, business, learning, working, technical, including, knowledge, information, teams, analytics, technology, project, using, tools, and/or, across, understanding, models, role, services, customers, into, scientist, building, excellent, candidate, python, program, highly, organization, statistics, programs","Atlanta","GA"
"19","Data Scientist","Inspire Brands","data, development, skills, business, ability, learning, analysis, years, management, required, knowledge, engineering, solutions, analytics, using, computer, understanding, models, statistical, problems, scientist, performance, results, expertise, operations, maintain, programming, marketing, modeling, multiple, statistics","Atlanta","GA"
"20","Senior Electrical Engineer","Burns & McDonnell","development, skills, business, ability, years, working, including, required, knowledge, engineering, systems, related, opportunity, projects, scientists, project, communication, and/or, role, complex, qualifications, engineers, analytical, techniques, advanced, excellent, employer, responsibilities, candidate, clients, program, operations, programming, marketing, reports, methods","Atlanta","GA"
"21","Sr. Manager, Full Stack Development, KPMG Tax Ignition","KPMG","data, development, skills, business, ability, learning, analysis, years, working, management, including, software, knowledge, engineering, systems, related, environment, solutions, information, teams, analytics, opportunity, technology, status, scientists, using, communication, tools, requirements, computer, and/or, understanding, statistical, role, services, technologies, employment, building, developing, employer, disability, national, results, python, gender, clients, applications, programming, relevant, reports, internal, perform","Atlanta","GA"
"22","Data Scientist","Norfolk Southern Corp","data, research, skills, business, learning, years, working, technical, including, knowledge, engineering, systems, related, solutions, information, analytics, opportunity, products, using, communication, tools, computer, and/or, preferred, statistical, technologies, qualifications, problems, scientist, analytical, techniques, developing, advanced, excellent, employer, python, operations, maintain, marketing, relevant, statistics, algorithms","Atlanta","GA"
"23","DATA SCIENTIST - Supply Chain","The Home Depot","data, development, skills, business, ability, learning, analysis, years, working, technical, knowledge, engineering, systems, related, solutions, information, opportunity, scientists, using, tools, computer, not, and/or, understanding, models, preferred, statistical, within, technologies, complex, problems, into, scientist, analytical, quality, techniques, advanced, responsible, results, python, program, insights, programming, relevant, reports, statistics, algorithms","Atlanta","GA"
"24","Data Scientist, Keying & Linking","Equifax","data, development, business, ability, learning, analysis, years, working, required, knowledge, engineering, related, solutions, information, analytics, opportunity, technology, products, status, projects, tools, computer, and/or, models, preferred, statistical, technologies, complex, problems, employment, into, scientist, techniques, developing, advanced, employer, disability, responsibilities, national, performance, python, gender, marketing, modeling, methods, statistics, perform, algorithms","Atlanta","GA"
"25","Data Scientist","AirSage","data, research, development, business, learning, analysis, years, working, including, software, required, systems, related, environment, information, analytics, opportunity, products, status, using, tools, requirements, computer, not, and/or, understanding, models, statistical, role, services, customer, technologies, complex, problems, scientist, analytical, techniques, developing, disability, national, performance, results, python, gender, operations, highly, programming, organization, statistics, perform, algorithms","Atlanta","GA"
"26","Data Scientist 1 â AP Forensics Team","The Home Depot","data, development, skills, business, ability, learning, analysis, years, technical, software, knowledge, related, environment, teams, analytics, opportunity, projects, project, communication, tools, requirements, not, and/or, across, preferred, statistical, role, technologies, problems, scientist, analytical, techniques, advanced, python, applications, program, insights, programming, modeling, relevant, reports, methods, statistics, perform","Atlanta","GA"
"27","Data Scientist - ICL","Georgia Tech Research Institute","data, research, skills, business, ability, learning, analysis, working, technical, software, required, engineering, systems, analytics, technology, projects, project, tools, requirements, computer, models, preferred, statistical, customer, qualifications, problems, customers, scientist, building, performance, candidate, results, python, looking, applications, programming, modeling, reports, multiple, statistics, algorithms","Atlanta","GA"
"28","Data Scientist, Online","The Home Depot","data, research, development, skills, business, ability, learning, analysis, years, management, technical, knowledge, engineering, systems, related, environment, solutions, analytics, opportunity, technology, products, scientists, using, communication, tools, computer, not, and/or, understanding, models, preferred, statistical, role, customer, technologies, qualifications, problems, customers, into, analytical, techniques, building, developing, excellent, responsibilities, performance, results, applications, program, operations, insights, modeling, relevant, reports, methods, statistics, perform, algorithms","Atlanta","GA"
"29","Data Scientist - CONSULTANT Level - ORLANDO FLORIDA - We will help Relocate","Capgemini","data, development, skills, business, ability, learning, analysis, years, working, management, technical, including, software, required, knowledge, engineering, systems, related, environment, solutions, information, teams, analytics, opportunity, technology, products, status, projects, using, requirements, computer, not, and/or, understanding, models, preferred, statistical, role, services, within, technologies, complex, qualifications, problems, employment, scientist, analytical, techniques, building, advanced, excellent, employer, responsible, disability, responsibilities, national, performance, results, python, gender, clients, expertise, operations, global, programming, modeling, methods, internal, statistics, perform, algorithms","Atlanta","GA"
"30","Senior Data Scientist","Catalina Marketing","data, research, development, skills, business, ability, learning, analysis, software, required, engineering, related, environment, solutions, analytics, projects, project, using, tools, requirements, computer, not, across, models, preferred, role, technologies, complex, problems, customers, scientist, quality, advanced, employer, responsibilities, python, clients, expertise, operations, maintain, programming, relevant, multiple, internal, statistics, perform","Atlanta","GA"
"31","Business Intelligence Data Scientist - Supply Chain","Newell Brands","data, research, development, skills, business, ability, years, technical, including, required, engineering, environment, analytics, opportunity, products, communication, tools, requirements, across, statistical, role, within, complex, employment, into, scientist, techniques, developing, scientific, advanced, performance, operations, global, highly, programming, reports, methods, multiple, organization, statistics, programs, algorithms","Atlanta","GA"
"32","Entry Level/Junior-Level Scientist","Kleinfelder, Inc.","data, skills, ability, years, working, management, technical, including, engineering, solutions, teams, opportunity, projects, scientists, project, using, communication, not, and/or, understanding, preferred, engineers, employment, scientist, analytical, techniques, developing, excellent, medical, employer, candidate, clients, operations, maintain, relevant, reports, multiple, internal, perform","Atlanta","GA"
"33","Scientist - Data Analysis","AMERICAN CANCER SOCIETY","data, research, development, skills, ability, learning, analysis, years, management, including, required, related, environment, information, analytics, scientists, using, computer, not, and/or, across, understanding, preferred, statistical, health, complex, quality, scientific, advanced, medical, responsibilities, results, program, expertise, programming, modeling, relevant, reports, methods, multiple, organization, internal, programs","Atlanta","GA"
"34","Data Scientist","SalesLoft","data, research, business, learning, analysis, working, management, including, engineering, information, teams, using, tools, and/or, across, preferred, statistical, technologies, scientist, techniques, advanced, responsibilities, performance, python, looking, marketing, organization, internal, statistics","Atlanta","GA"
"35","Data Scientist","McKesson","data, research, development, skills, business, ability, analysis, years, working, management, technical, including, required, knowledge, engineering, systems, related, solutions, information, teams, opportunity, status, projects, project, using, clinical, communication, requirements, computer, not, models, statistical, role, services, health, complex, qualifications, problems, employment, customers, scientist, analytical, techniques, advanced, excellent, employer, responsibilities, results, expertise, highly, maintain, relevant, multiple, organization, internal, statistics","Atlanta","GA"
"36","Data Scientist","The Intersect Group","data, skills, ability, learning, analysis, years, including, engineering, analytics, projects, scientists, using, communication, computer, health, technologies, analytical, techniques, advanced, results, python, operations, marketing, modeling, relevant, methods, statistics","Atlanta","GA"
"37","Health Scientist","Centers for Disease Control and Prevention","data, research, development, skills, ability, analysis, years, management, technical, including, required, knowledge, systems, related, information, status, scientists, requirements, not, and/or, services, within, health, qualifications, problems, employment, customers, scientist, medical, responsibilities, candidate, program, organization, perform","Atlanta","GA"
"38","Data Scientist","OM Partners","data, development, skills, business, learning, analysis, working, technical, software, required, knowledge, systems, solutions, analytics, products, project, using, tools, requirements, statistical, customer, problems, engineers, customers, into, scientist, analytical, techniques, developing, advanced, excellent, responsible, looking, statistics","Atlanta","GA"
"39","DATA SCIENTIST - SPACE OPTIMIZATION","The Home Depot","data, development, skills, business, ability, learning, analysis, years, technical, knowledge, systems, related, environment, information, analytics, opportunity, communication, tools, requirements, computer, not, and/or, models, preferred, statistical, role, technologies, qualifications, problems, scientist, analytical, techniques, advanced, responsibilities, python, program, operations, insights, programming, modeling, relevant, reports, statistics, perform, algorithms","Atlanta","GA"
"40","Data Science Specialist - Periscope, New Ventures","McKinsey & Company","data, research, development, skills, business, ability, analysis, years, working, including, software, knowledge, environment, solutions, teams, analytics, opportunity, technology, scientists, project, communication, tools, across, models, statistical, customer, qualifications, engineers, into, scientist, analytical, techniques, building, developing, advanced, performance, clients, insights, maintain, marketing, modeling, relevant, statistics, programs, algorithms","Atlanta","GA"
"41","Senior Data Scientist","Cotiviti","data, development, business, ability, learning, analysis, working, management, technical, including, software, required, knowledge, engineering, systems, environment, solutions, analytics, opportunity, technology, products, using, tools, computer, not, and/or, understanding, models, preferred, statistical, role, health, technologies, complex, problems, customers, scientist, analytical, developing, advanced, performance, python, looking, clients, applications, program, insights, maintain, programming, modeling, relevant, statistics, algorithms","Atlanta","GA"
"42","Manager - Data Scientist ! Orlando!","Capgemini","data, development, skills, business, ability, learning, analysis, years, working, management, technical, software, required, knowledge, engineering, systems, related, environment, solutions, information, teams, analytics, opportunity, technology, products, status, projects, project, using, tools, requirements, computer, not, and/or, across, understanding, models, preferred, statistical, role, services, within, technologies, complex, qualifications, problems, employment, scientist, techniques, building, advanced, excellent, employer, responsible, disability, responsibilities, national, performance, results, python, gender, clients, applications, expertise, operations, global, insights, maintain, programming, modeling, reports, methods, multiple, organization, internal, statistics, perform, algorithms","Atlanta","GA"
"43","Scientist II","The Coca-Cola Company","data, research, development, skills, business, ability, learning, years, management, technical, including, knowledge, engineering, related, solutions, information, teams, opportunity, technology, products, status, projects, project, using, tools, requirements, computer, not, and/or, across, within, technologies, problems, employment, customers, scientist, analytical, quality, techniques, building, developing, scientific, employer, disability, responsibilities, national, performance, candidate, results, gender, program, global, highly, maintain, marketing, relevant, reports, methods, internal, programs, perform","Atlanta","GA"
"44","Lead Data Scientist","Norfolk Southern Corp","data, research, development, skills, business, learning, years, working, management, technical, including, required, knowledge, engineering, systems, related, solutions, information, teams, analytics, opportunity, products, scientists, using, communication, tools, requirements, computer, and/or, understanding, models, preferred, statistical, technologies, qualifications, problems, scientist, analytical, quality, techniques, developing, advanced, excellent, employer, results, python, applications, operations, maintain, marketing, modeling, relevant, statistics, algorithms","Atlanta","GA"
"45","Senior Data Scientist","Norfolk Southern Corp","data, research, development, skills, business, learning, years, working, technical, including, required, knowledge, engineering, systems, related, solutions, information, teams, analytics, opportunity, products, using, communication, tools, computer, and/or, models, preferred, statistical, technologies, qualifications, problems, scientist, analytical, quality, techniques, developing, advanced, excellent, employer, results, python, applications, operations, maintain, marketing, relevant, statistics, algorithms","Atlanta","GA"
"46","Data Scientist - Consultant Level - Orlando, Florida - we will assist with relocation","Capgemini","data, development, skills, business, ability, learning, analysis, years, working, management, technical, including, software, required, knowledge, engineering, systems, related, environment, solutions, information, teams, analytics, opportunity, technology, products, status, projects, using, requirements, computer, not, and/or, understanding, models, preferred, statistical, role, services, within, technologies, complex, qualifications, problems, employment, scientist, analytical, techniques, building, advanced, excellent, employer, responsible, disability, responsibilities, national, performance, results, python, gender, clients, expertise, operations, global, programming, modeling, methods, internal, statistics, perform, algorithms","Atlanta","GA"
"47","Flight Safety Data Analysis Fall Co-Op","Delta Air Lines","data, skills, learning, analysis, management, including, information, technology, using, communication, preferred, into, quality, responsible, responsibilities, performance, candidate, results, python, program, highly, relevant, reports","Atlanta","GA"
"48","Chief Deep Learning Scientist","YIWEI Medical Inc.","data, learning, analysis, working, including, related, solutions, scientists, clinical, communication, computer, models, technologies, engineers, customers, into, quality, medical, python, looking, maintain, programming","Atlanta","GA"
"49","Supervisory Health Scientist","Centers for Disease Control and Prevention","data, research, development, skills, analysis, management, technical, required, knowledge, related, information, status, project, communication, requirements, not, and/or, services, within, health, complex, qualifications, employment, into, scientist, building, scientific, medical, responsible, disability, responsibilities, national, performance, program, expertise, programs, perform","Atlanta","GA"
"50","Manager - Cognitive Data Scientist Natural Language Processing","KPMG","data, development, skills, business, ability, learning, years, working, including, software, knowledge, engineering, related, environment, solutions, information, teams, analytics, opportunity, products, status, project, communication, tools, requirements, computer, models, services, customer, engineers, employment, into, scientist, developing, advanced, excellent, employer, disability, national, results, gender, clients, expertise, highly, marketing, organization, internal, statistics, perform, algorithms","Atlanta","GA"
"51","Director, Data Scientist","KPMG","data, research, development, skills, business, ability, learning, analysis, years, working, management, technical, knowledge, engineering, related, environment, solutions, information, analytics, opportunity, status, projects, project, using, communication, tools, requirements, computer, and/or, across, preferred, statistical, technologies, problems, employment, into, techniques, advanced, excellent, employer, disability, national, results, python, gender, clients, operations, global, insights, programming, marketing, modeling, relevant, reports, methods, multiple, statistics, perform, algorithms","Atlanta","GA"
"52","VP, Data Scientist- Atlanta, GA; Charlotte, NC","Bank of America Merchant Services","data, skills, business, ability, years, working, management, including, software, required, engineering, related, solutions, information, analytics, opportunity, products, status, projects, communication, tools, requirements, computer, not, and/or, across, preferred, statistical, role, services, within, employment, customers, into, analytical, advanced, excellent, employer, responsible, disability, responsibilities, national, performance, gender, expertise, operations, insights, marketing, modeling, multiple, statistics","Atlanta","GA"
"53","Statistical Analyst","Hawkins Diagnostics","data, research, development, skills, business, ability, analysis, years, management, including, required, knowledge, systems, information, teams, analytics, technology, projects, project, clinical, communication, tools, not, understanding, preferred, services, technologies, developing, excellent, performance, clients, operations, insights, modeling, reports","Atlanta","GA"
"54","VP, Data Analytics","TCGplayer","data, skills, business, ability, analysis, years, working, including, required, knowledge, engineering, related, solutions, information, teams, analytics, technology, products, scientists, project, using, tools, computer, not, across, understanding, statistical, role, services, within, customer, health, complex, problems, into, analytical, building, developing, excellent, responsible, candidate, python, looking, applications, expertise, operations, highly, insights, marketing, relevant, multiple, internal","Atlanta","GA"
"55","Lead Decision Scientist","Moxie Interactive, Inc.","data, skills, ability, learning, years, working, software, required, knowledge, engineering, systems, related, solutions, information, teams, projects, using, requirements, computer, understanding, models, preferred, statistical, qualifications, scientist, techniques, building, excellent, responsible, responsibilities, python, clients, expertise, programming, marketing, modeling, relevant, reports, methods, statistics, algorithms","Atlanta","GA"
"56","Scientist I - Sensory Panel Leader","The Coca-Cola Company","data, research, development, skills, business, ability, learning, analysis, years, working, management, technical, including, knowledge, related, solutions, information, opportunity, status, project, communication, not, and/or, statistical, problems, employment, customers, scientist, quality, employer, disability, national, performance, results, gender, reports, methods, statistics, programs","Atlanta","GA"
"57","Data Scientist or Data Scientist Lead PS10268","Anthem, Inc.","data, development, business, learning, analysis, years, working, including, software, knowledge, related, environment, solutions, analytics, opportunity, projects, project, using, clinical, tools, computer, not, models, preferred, health, problems, customers, scientist, quality, techniques, advanced, responsible, results, python, expertise, programming, modeling, statistics, algorithms","Atlanta","GA"
"58","Lead Decision Scientist","Moxie","data, skills, ability, learning, years, working, software, required, knowledge, engineering, systems, related, solutions, information, teams, projects, using, requirements, computer, understanding, models, preferred, statistical, qualifications, scientist, techniques, building, excellent, responsible, responsibilities, python, clients, expertise, programming, marketing, modeling, relevant, reports, methods, statistics, algorithms","Atlanta","GA"
"59","Senior Cyber Security Data Scientist","Bank of America","data, business, learning, analysis, years, working, technical, including, required, knowledge, engineering, systems, related, environment, solutions, information, analytics, technology, projects, project, using, tools, requirements, computer, role, within, customer, technologies, complex, problems, engineers, scientist, analytical, techniques, advanced, candidate, results, python, looking, expertise, global, programming, methods, organization, statistics, algorithms","Atlanta","GA"
"60","Scientist II/Ecologist II","HNTB Corporation","data, research, development, skills, ability, years, working, management, technical, including, software, knowledge, related, environment, solutions, information, opportunity, status, projects, project, communication, not, and/or, across, preferred, within, complex, problems, engineers, scientist, analytical, quality, scientific, employer, responsible, disability, responsibilities, national, performance, candidate, results, gender, clients, program, operations, reports, internal, programs","Atlanta","GA"
"61","Data Engineer","Gallup","data, research, development, learning, analysis, working, management, including, software, required, knowledge, engineering, systems, related, solutions, teams, analytics, products, status, projects, scientists, tools, requirements, computer, across, statistical, role, technologies, complex, qualifications, problems, into, building, employer, responsible, disability, national, python, gender, clients, program, expertise, operations, highly, insights, maintain, programming, methods, multiple, internal, statistics, algorithms","Atlanta","GA"
"62","Manager, Data Scientist","KPMG","data, research, development, business, ability, learning, analysis, years, working, software, knowledge, engineering, related, environment, solutions, information, analytics, opportunity, status, projects, using, tools, requirements, computer, and/or, preferred, statistical, technologies, employment, into, scientist, techniques, advanced, employer, disability, national, results, gender, clients, operations, global, marketing, modeling, reports, methods, statistics, perform, algorithms","Atlanta","GA"
"63","Machine Learning / Artificial Intelligence Research Scientist","Symantec","data, research, development, skills, ability, learning, years, technical, software, engineering, environment, teams, products, scientists, communication, and/or, role, engineers, scientist, techniques, developing, advanced, python","Atlanta","GA"
"64","Statistical Quantitative Analyst","SunTrust","skills, analysis, technical, including, engineering, related, opportunity, not, and/or, models, preferred, technologies, complex, qualifications, into, employer, national, gender, programming","Atlanta","GA"
"65","Research Scientist","MacDermid Inc.","data, research, development, skills, ability, analysis, working, technical, including, knowledge, engineering, systems, teams, opportunity, technology, products, projects, project, using, communication, tools, requirements, and/or, preferred, statistical, customer, technologies, complex, problems, employment, into, scientist, analytical, techniques, scientific, excellent, responsible, responsibilities, performance, results, applications, reports, multiple, programs","Atlanta","GA"
"66","Environmental Scientist","Tetra Tech","data, development, skills, years, working, management, technical, including, knowledge, engineering, related, environment, solutions, teams, opportunity, projects, project, using, communication, computer, across, statistical, services, complex, engineers, scientist, analytical, quality, techniques, employer, candidate, looking, applications, expertise, global, highly, relevant, reports, organization, perform","Atlanta","GA"
"67","Scientist, Asst Bioinformatics","Emory University","data, research, development, skills, ability, analysis, years, working, management, technical, including, software, required, knowledge, systems, related, environment, using, clinical, communication, computer, not, and/or, models, preferred, statistical, role, within, complex, scientist, techniques, developing, responsible, responsibilities, results, python, applications, program, expertise, highly, maintain, programming, multiple, algorithms","Atlanta","GA"
"68","Research Analyst","Evident","data, research, skills, business, ability, management, including, required, knowledge, engineering, environment, information, teams, projects, project, communication, requirements, computer, understanding, role, within, customer, customers, into, analytical, quality, excellent, applications, highly, maintain, reports, multiple, organization, perform","Atlanta","GA"
"69","Scientist, Asst (AR) SOM","Emory Healthcare","data, research, development, skills, analysis, years, working, technical, required, knowledge, projects, communication, not, and/or, complex, into, scientist, scientific, advanced, responsible, responsibilities, candidate, results, applications, program, highly, insights, programs","Atlanta","GA"
"70","Analyst, Research","Turner","data, research, development, skills, business, ability, learning, analysis, working, management, software, required, knowledge, information, teams, opportunity, using, tools, understanding, preferred, employment, into, analytical, disability, national, candidate, python, gender, applications, maintain, programming, marketing, relevant","Atlanta","GA"
"71","Director, NLP Data Scientist","KPMG","data, research, development, business, ability, learning, years, working, management, technical, required, knowledge, engineering, related, environment, solutions, information, analytics, opportunity, status, projects, project, using, communication, tools, requirements, computer, and/or, across, understanding, preferred, technologies, problems, engineers, employment, into, quality, techniques, advanced, employer, disability, national, python, gender, clients, global, programming, marketing, relevant, multiple, internal, statistics","Atlanta","GA"
"72","Information Technology Specialist","Centers for Disease Control and Prevention","data, research, development, skills, analysis, years, management, technical, including, software, required, knowledge, systems, related, information, technology, status, scientists, communication, requirements, not, services, within, customer, health, qualifications, employment, quality, building, developing, scientific, responsibilities, performance, candidate, program, expertise, programming, relevant, perform","Atlanta","GA"
"73","Quantitative Analyst","GreenSky","data, skills, business, software, required, knowledge, engineering, information, analytics, technology, using, communication, tools, computer, and/or, understanding, models, preferred, statistical, into, advanced, performance, candidate, results, python, looking, highly, maintain, programming, reports, statistics, perform","Atlanta","GA"
"74","DATA ANALYST SUPPLY CHAIN","The Home Depot","data, skills, business, ability, learning, analysis, years, working, technical, knowledge, engineering, systems, related, environment, information, analytics, opportunity, scientists, tools, computer, not, and/or, preferred, statistical, within, technologies, complex, problems, into, analytical, quality, responsible, responsibilities, results, program, expertise, operations, insights, relevant, reports, statistics","Atlanta","GA"
"75","Scientist, Asst (AR) SOM","Emory University","data, research, development, skills, analysis, years, working, technical, required, knowledge, projects, communication, not, and/or, complex, into, scientist, scientific, advanced, responsible, responsibilities, candidate, results, applications, program, highly, insights, programs","Atlanta","GA"
"76","Health Communications Specialist","Eagle Medical Services","data, research, development, skills, ability, learning, years, working, technical, including, required, knowledge, related, environment, information, products, projects, scientists, using, clinical, communication, tools, not, and/or, across, role, services, within, health, complex, analytical, developing, scientific, excellent, national, results, program, expertise, maintain, marketing, methods, multiple, organization, internal","Atlanta","GA"
"77","Senior Associate, Data Scientist (NLP/AI)","KPMG","data, research, development, business, ability, learning, analysis, years, working, software, knowledge, engineering, related, environment, solutions, information, analytics, opportunity, status, projects, using, tools, requirements, computer, and/or, preferred, statistical, technologies, employment, into, scientist, techniques, advanced, employer, disability, national, results, gender, clients, operations, global, marketing, modeling, reports, methods, statistics, perform, algorithms","Atlanta","GA"
"78","Data Engineer - GC Insights, New Ventures","McKinsey & Company","data, research, development, skills, business, analysis, working, management, including, software, required, knowledge, engineering, systems, environment, solutions, information, teams, analytics, opportunity, technology, projects, scientists, communication, tools, computer, and/or, across, services, within, customer, technologies, qualifications, engineers, into, analytical, techniques, developing, performance, clients, expertise, insights, methods, multiple, algorithms","Atlanta","GA"
"79","Technical Evangelist â Database, Analytics, and Machine Learning","Amazon.com","development, skills, ability, learning, working, technical, including, knowledge, solutions, teams, analytics, technology, using, communication, understanding, preferred, role, services, qualifications, customers, developing, excellent, responsible, responsibilities, clients, program, global, programming, organization, internal","Atlanta","GA"
"80","Sr Scientist II, Analytical Science","The Coca-Cola Company","data, development, skills, business, ability, learning, years, technical, knowledge, solutions, opportunity, products, status, project, using, not, and/or, across, preferred, technologies, complex, problems, employment, customers, analytical, building, developing, advanced, employer, disability, responsibilities, national, performance, results, gender, expertise, reports, methods, internal, perform","Atlanta","GA"
"81","Director of Data Science","Prestige Staffing","data, development, business, ability, analysis, years, technical, including, software, knowledge, related, analytics, products, scientists, tools, across, models, statistical, role, services, within, customer, health, complex, customers, into, quality, techniques, advanced, excellent, performance, results, python, insights, programming, marketing, modeling, reports, multiple, organization, perform","Atlanta","GA"
"82","HIV Research Scientist","Eagle Medical Services","data, research, development, ability, analysis, years, working, management, technical, including, knowledge, teams, tools, requirements, services, health, customers, scientist, quality, techniques, developing, advanced, medical, national, performance, results, program, reports, methods, programs, perform","Atlanta","GA"
"83","SI CoE IoT Data Modeling Architect","Xylem","data, skills, business, ability, analysis, years, working, management, including, required, knowledge, engineering, systems, related, environment, solutions, information, teams, analytics, technology, products, scientists, using, communication, computer, models, preferred, role, services, technologies, complex, engineers, customers, into, analytical, quality, techniques, building, developing, advanced, excellent, responsible, looking, applications, expertise, global, insights, marketing, modeling, multiple, organization, perform","Atlanta","GA"
"84","Research Scientist","PreVisor","data, research, development, skills, ability, years, working, management, technical, software, required, knowledge, related, solutions, information, projects, requirements, customer, employment, scientist, quality, developing, responsible, clients, maintain, relevant, multiple, internal","Atlanta","GA"
